signal,peaks,instant_rr,time,Channel_0
136.0,0.0,893.3333333333333,245.45333333333335,0.0
147.0,0.0,893.3333333333333,245.46666666666667,0.0
153.0,0.0,893.3333333333333,245.48,0.0
155.0,0.0,893.3333333333333,245.49333333333334,0.0
154.0,1.0,853.3333333333334,245.50666666666666,0.0
151.0,0.0,853.3333333333334,245.52,0.0
146.0,0.0,853.3333333333334,245.53333333333333,0.0
142.0,0.0,853.3333333333334,245.54666666666665,0.0
138.0,0.0,853.3333333333334,245.56,0.0
135.0,0.0,853.3333333333334,245.57333333333332,0.0
133.0,0.0,853.3333333333334,245.58666666666667,0.0
131.0,0.0,853.3333333333334,245.6,0.0
128.0,0.0,853.3333333333334,245.61333333333334,0.0
125.0,0.0,853.3333333333334,245.62666666666667,0.0
122.0,0.0,853.3333333333334,245.64,0.0
118.0,0.0,853.3333333333334,245.65333333333334,0.0
115.0,0.0,853.3333333333334,245.66666666666666,0.0
111.0,0.0,853.3333333333334,245.68,0.0
109.0,0.0,853.3333333333334,245.69333333333333,0.0
107.0,0.0,853.3333333333334,245.70666666666668,0.0
105.0,0.0,853.3333333333334,245.72,0.0
104.0,0.0,853.3333333333334,245.73333333333332,0.0
103.0,0.0,853.3333333333334,245.74666666666667,0.0
101.0,0.0,853.3333333333334,245.76,0.0
100.0,0.0,853.3333333333334,245.77333333333334,0.0
98.0,0.0,853.3333333333334,245.78666666666666,0.0
95.0,0.0,853.3333333333334,245.8,0.0
93.0,0.0,853.3333333333334,245.81333333333333,0.0
90.0,0.0,853.3333333333334,245.82666666666665,0.0
88.0,0.0,853.3333333333334,245.84,0.0
86.0,0.0,853.3333333333334,245.85333333333332,0.0
84.0,0.0,853.3333333333334,245.86666666666667,0.0
82.0,0.0,853.3333333333334,245.88,0.0
81.0,0.0,853.3333333333334,245.89333333333335,0.0
